Stations,Value_i_mean_sum,Value_o_mean_sum,Value_i_mean_max,Value_o_mean_max
BL板橋,16563.52763041556,11177.811243737106,5530.638461538461,2989.857692307692
七張,8399.998482169172,4528.378558797524,2658.05,1298.7192307692308
三民高中,8244.395151783083,1806.255585027999,2883.2346153846156,493.08076923076925
三和國中,8147.048835838491,1707.7864132036545,2902.1769230769232,352.16153846153844
三重,2996.633878573534,1420.6910993221338,1059.3423076923077,333.0615384615385
三重國小,7651.076038903625,1574.0634246979075,2601.3346153846155,332.52307692307693
土城,4372.918376068376,1382.5834806955497,1414.4346153846154,312.8115384615385
士林,8953.108738579429,11376.632832301797,2363.0884615384616,2532.6576923076923
大安,5672.3007957559685,13496.110035366932,1471.6538461538462,4104.588461538461
大安森林公園,2459.670895962275,3268.137488947834,626.25,881
大坪林,8724.813468906572,7881.470704391394,2733.5,2387.869230769231
大直,3298.841320365458,3789.1530356616563,1036.5384615384614,1028.8653846153845
大湖公園,1980.8457559681697,608.7033598585323,698.85,115.4
大橋頭站,5242.283908045977,4695.072060123784,1480.7846153846153,1355.803846153846
小南門,2594.7380636604776,5651.4518420277045,574.8846153846154,1893.676923076923
小碧潭,1159.8422782198645,496.8845859121721,387.1115384615385,136.33846153846153
中山,6531.14160035367,15078.616887709992,1396.1384615384616,3979.773076923077
中山國小,5377.466298261126,7408.705850279988,1440.4807692307693,2548.2884615384614
中山國中,5515.699174771588,6833.241394046566,1738.1384615384616,2864.9192307692306
中正紀念堂,7673.8322133804895,14924.838063660478,1679.2115384615386,5084.076923076923
丹鳳,6209.4031240789855,1134.9363689949896,2128.0115384615383,232.22692307692307
內湖,4690.664249926319,1508.8373415856174,1599.926923076923,297.86538461538464
公館,7178.957338638374,11100.032390215149,1770.9384615384615,2767.480769230769
六張犁,5227.701871500147,4051.2222811671086,1764.9115384615384,1387.5230769230768
文德,2458.838078396699,1856.149557913351,838.9846153846154,851.3576923076923
木柵,2050.6033893309755,1641.0418213969938,686.1961538461538,759.0423076923076
北投,8963.444267609784,5314.678043029768,2799.55,1329.196153846154
北門,2944.6956380783968,4816.014603595638,781.7269230769231,1752.0346153846153
古亭,9905.50389036251,13065.55044208665,2751.4653846153847,4099.711538461538
